Timestamp,Conditions,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,TimeEDT,TimeEST,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees,Time,Hour,Date
01/01/2015 00:50,Clear,-12.2,,-,58,,1021.4,-5,,12:53 AM,14.5,SW,7.4,230,00:50,0,01/01/2015
01/01/2015 01:50,Clear,-13.3,,-,49,,1021.2,-3.9,,1:53 AM,16.1,West,11.1,260,01:50,1,01/01/2015
01/01/2015 02:50,Clear,-13.9,,-,46,,1020.9,-3.9,,2:53 AM,16.1,SW,9.3,230,02:50,2,01/01/2015
01/01/2015 03:50,Clear,-13.9,,-,44,,1020.5,-3.3,,3:53 AM,16.1,WSW,13,250,03:50,3,01/01/2015
01/01/2015 04:50,Clear,-13.9,,-,44,,1020.4,-3.3,,4:53 AM,16.1,WSW,9.3,240,04:50,4,01/01/2015
01/01/2015 05:50,Clear,-13.9,,-,44,,1021,-3.3,,5:53 AM,16.1,WSW,9.3,250,05:50,5,01/01/2015
01/01/2015 06:50,Clear,-13.9,,-,46,,1021.3,-3.9,,6:53 AM,16.1,SW,11.1,230,06:50,6,01/01/2015
01/01/2015 07:50,Clear,-13.9,,-,46,,1021.3,-3.9,,7:53 AM,16.1,SW,9.3,230,07:50,7,01/01/2015
01/01/2015 08:50,Clear,-13.9,,-,40,,1021.8,-1.7,,8:53 AM,16.1,WSW,13,250,08:50,8,01/01/2015
01/01/2015 09:50,Clear,-14.4,,29.6,34,,1021.8,0,,9:53 AM,16.1,WSW,22.2,250,09:50,9,01/01/2015
01/01/2015 10:50,Clear,-13.9,,35.2,32,,1021.1,1.1,,10:53 AM,16.1,SW,24.1,230,10:50,10,01/01/2015
01/01/2015 11:50,Clear,-13.3,,40.7,31,,1019.5,2.2,,11:53 AM,16.1,West,25.9,260,11:50,11,01/01/2015
01/01/2015 12:50,Clear,-12.2,,42.6,32,,1017.8,3.3,,12:53 PM,16.1,WSW,22.2,250,12:50,12,01/01/2015
01/01/2015 13:50,Clear,-11.7,,35.2,31,,1016.5,4.4,,1:53 PM,16.1,WSW,22.2,240,13:50,13,01/01/2015
01/01/2015 14:50,Clear,-12.2,,40.7,29,,1015.7,4.4,,2:53 PM,16.1,SW,22.2,230,14:50,14,01/01/2015
01/01/2015 15:50,Clear,-11.7,,42.6,32,,1015.7,3.9,,3:53 PM,16.1,SW,24.1,230,15:50,15,01/01/2015
01/01/2015 16:50,Clear,-10.6,,42.6,37,,1015.9,2.8,,4:53 PM,16.1,SW,18.5,230,16:50,16,01/01/2015
01/01/2015 17:50,Clear,-10,,-,41,,1015.8,2.2,,5:53 PM,16.1,SW,14.8,230,17:50,17,01/01/2015
01/01/2015 18:50,Clear,-8.9,,-,46,,1015.6,1.7,,6:53 PM,16.1,SW,16.7,220,18:50,18,01/01/2015
01/01/2015 19:50,Clear,-8.3,,-,50,,1016,1.1,,7:53 PM,16.1,SW,16.7,230,19:50,19,01/01/2015
01/01/2015 20:50,Clear,-8.3,,-,46,,1015.8,2.2,,8:53 PM,16.1,WSW,13,240,20:50,20,01/01/2015
01/01/2015 21:50,Clear,-7.2,,-,52,,1016.2,1.7,,9:53 PM,16.1,WSW,13,240,21:50,21,01/01/2015
01/01/2015 22:50,Clear,-7.2,,-,54,,1017.1,1.1,,10:53 PM,16.1,West,9.3,260,22:50,22,01/01/2015
01/01/2015 23:50,Clear,-7.8,,-,50,,1017.2,1.7,,11:53 PM,16.1,WSW,11.1,240,23:50,23,01/01/2015
02/01/2015 00:50,Clear,-8.3,,-,50,,1017.1,1.1,,12:53 AM,16.1,WSW,7.4,240,00:50,0,02/01/2015
02/01/2015 01:50,Clear,-8.3,,-,52,,1017.8,0.6,,1:53 AM,16.1,WSW,9.3,240,01:50,1,02/01/2015
02/01/2015 02:50,Clear,-8.3,,-,54,,1018.4,0,,2:53 AM,16.1,WSW,11.1,240,02:50,2,02/01/2015
02/01/2015 03:50,Clear,-8.3,,-,54,,1018.7,0,,3:53 AM,16.1,WSW,9.3,240,03:50,3,02/01/2015
02/01/2015 04:50,Clear,-8.9,,-,52,,1019.1,0,,4:53 AM,16.1,WSW,9.3,240,04:50,4,02/01/2015
02/01/2015 05:50,Clear,-8.9,,-,50,,1020.3,0.6,,5:53 AM,16.1,WSW,7.4,240,05:50,5,02/01/2015
02/01/2015 06:50,Mostly Cloudy,-8.9,,-,50,,1021.6,0.6,,6:53 AM,16.1,West,13,260,06:50,6,02/01/2015
